Contract Number,Vendor Number,Vendor Name,Amount,Description,System Release,Lead Department,Start Date,End Date,Category,Commodity Category
Q-97923-OR,800583,ACCREDITED LOCK SUPPLY,1469.00,"PARTS, DOOR",10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97923-OR.pdf),
Q-97949-OR,814547,COOLGAS INC,1385.00,REFRIGERANT R134A,10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97949-OR.pdf),
Q-97952-OR,833021,INDI ENTERPRISES,3677.00,"OIL, COMPRESSOR",10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97952-OR.pdf),
Q-98783-OR,77226,WIPECO INC,77226.00,SALT AND DEICING,10/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98783-OR.pdf),
Q-97329-OR,82585,W W GRAINGER INC,13314.00,"SIGNS, LED RETRO FIT EXIT",10/04/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97329-OR.pdf),
Q-97663-OR,829779,"NEHER ELECTRIC SUPPLY, INC.",3790.00,"SUPPLIES, LIGHTING",10/04/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97663-OR.pdf),
Q-99254-OR,833681,PREMIER PAPER & PACKAGING,7516.00,LABELS NEEDED,10/05/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99254-OR.pdf),
Q-97083-OR,78055,CLARK DEVON HARDWARE COMPANY,1299.00,HAND TOOLS,10/06/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97083-OR.pdf),
Q-97951-OR,809120,CALUMET PHOTOGRAPHIC INC,1108.00,CAMERAS,10/06/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97951-OR.pdf),
Q-97382-OR,833807,CAPITAL SUPPLY COMPANY,9655.00,MISC CABLE AND HARDWARE,10/11/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97382-OR.pdf),
Q-97442-OR,811001,COMPLETE BOOK & MEDIA SUPPLY,2565.00,BOOKS,10/11/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97442-OR.pdf),
Q-97788-OR,833789,CICERO MFG & SUPPLY CO INC,5412.00,MAILBOX HARDWARE,10/11/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97788-OR.pdf),
Q-98630-OR,739189,MAXIMUS INC,2500.00,MAINTENANCE AGREEMENT RENEWAL,10/11/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98630-OR.pdf),
Q-96493-O7,806684,PRODUCTS UNLIMITED INC,4810.00,CABINETS,10/12/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96493-O7.pdf),
Q-97057-O7,781523,"TRADEMARK PRODUCTS, INC",4200.00,REPAIR LOCAL DATERS,10/12/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97057-O7.pdf),
Q-98124-OR,92663,ADVANCED MANAGEMENT SYSTEMS INC,92663.00,SANITARY DISPOSAL SERVICE,10/12/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98124-OR.pdf),
Q-98158-OR,833680,AVALON ADVANCED MOBILITY SERVICES,24508.00,BLACKBERRY SUPPORT MAINTENANCE,10/14/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98158-OR.pdf),
Q-99472-08,833470,"GREENWOOD, PAUL R",3000.00,SYMPOSIUM FOR FAMILY VIOLENCE PRESENTER'S FEE,10/18/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99472-08.pdf),
11-41-06,778390,AMCAD LLC,27750.00,MICROFILMING SERVICES,10/19/2011,1529.CIRCUIT CRT. DOC. STORAGE FUND,10/20/2011,01/19/2012,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-41-06.pdf),
11-45-94,772386,COMMUNITY ORGANIZING & FAMILY ISSUES,35000.00,PROFESSIONAL SERVICES,10/19/2011,JAC Project Reclaim - 833,10/04/2011,11/30/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-94.pdf),
11-45-95,779522,SPECTRUM YOUTH & FAMILY SERVICES,35000.00,PROFESSIONAL SERVICES,10/19/2011,JAC Project Reclaim - 833,10/04/2011,11/26/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-95.pdf),
11-45-97,772383,ALLIANCE FOR COMMUNITY PEACE,35000.00,PROFESSIONAL SERVICES,10/19/2011,JAC Project Reclaim - 833,10/04/2011,11/30/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-97.pdf),
11-45-98,779418,BELOVED COMMUNITY FAMILY SERVICES INC,35000.00,PROFESSIONAL SERVICES,10/19/2011,JAC Project Reclaim - 833,10/04/2011,11/26/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-98.pdf),
11-50-86,76071,OPEN KITCHENS INC,312741.00,FOOD SERVICE,10/19/2011,1230.COURT SERVICES DIVISION,10/04/2011,10/03/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-50-86.pdf),
11-45-99,76969,TASC INC,702034.00,PROFESSIONAL SERVICES,10/19/2011,1250.STATE'S ATTORNEY,10/04/2011,09/30/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-99.pdf),
11-53-49,75269,DIVANE BROS ELECTRIC CO,611000.00,JTDC FIRE & LIFE SAFETY REPLAC,10/20/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-53-49.pdf),
Q-96909-OR,76389,FRASER DIV INDEXING & EQUIPMENT,5398.00,INTAKE BOOKS,10/20/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96909-OR.pdf),
11-45-91,772384,ALTERNATIVES INC,35000.00,PROFESSIONAL SERVICES,10/21/2011,JAC Project Reclaim - 833,10/04/2011,11/26/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-91.pdf),
11-45-96,821594,NEW LIFE CENTERS OF CHICAGOLAND,35000.00,PROFESSIONAL SERVICES,10/21/2011,JAC Project Reclaim - 833,10/04/2011,11/26/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-96.pdf),
Q-98666-OR,746226,GLORY (U.S.A.) INC,10798.00,MAINTENANCE OF MONEY COUNTER,10/21/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98666-OR.pdf),
Q-97921-OR,833021,INDI ENTERPRISES,2539.00,SERVICE REWIND MOTOR,10/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97921-OR.pdf),
Q-98108-OR,767357,ADVANTAGE MICROFILM SERVICES INC,1380.00,MAINTENANCE ON FUJITSU SCANNER,10/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98108-OR.pdf),
Q-98186-OR,776500,LEXITEL COMMUNICATIONS LLC,2159.00,MONTHLY ANSWERING SERVICE,10/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98186-OR.pdf),
Q-98741-OR,812095,INTEGREAT TECHNOLOGY SOLUTIONS,3670.00,REGISTER SUPPLIES,10/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98741-OR.pdf),
Q-98925-OR,79042,PCS INDUSTRIES,11900.00,MACHINERY-FLOOR SCRUBBER,10/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98925-OR.pdf),
Q-99240-OR,468747,JJ COLLINS SONS,6314.00,FORMS; PRINTING,10/22/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99240-OR.pdf),
11-45-90,772559,PRECIOUS BLOOD MINISTRY OF RECONCILIATIO,65000.00,PROFESSIONAL SERVICES,10/24/2011,JAC Project Reclaim - 833,10/17/2011,11/26/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-90.pdf),
OMP-10-84-2643,79503,JOHNSON PIPE & SUPPLY CO,86544.00,"SUPPLIES, STEAMFITTER",10/24/2011,1200.DEPT. OF FACILITIES/MGMT,10/24/2011,10/23/2012,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/OMP-10-84-2643.pdf),
Q-98600-OR,833021,GLOBAL EQUIPMENT,2729.00,"FURNITURE ,CHAIRS",10/25/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98600-OR.pdf),
Q-99888-OR,834072,EVERYTHING2GO.COM,1704.00,OFFICE FURNITURE,10/25/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99888-OR.pdf),
Q-97542-OR,833906,ITS PARTNERS LLC,3115.00,ANNUAL SOFTWARE MAINTENANCE,10/26/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97542-OR.pdf),
11-41-55,600791,CHICAGO CHILDREN'S ADVOCACY CTR,49958.00,PROFESSIONAL SERVICES,10/28/2011,JAC Justice Assistance (JAG) - 794,10/24/2011,03/16/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-41-55.pdf),
11-45-93,734529,VILLAGE OF HOMEWOOD,35000.00,PROFESSIONAL SERVICES,10/28/2011,JAC Project Reclaim - 833,10/24/2011,11/26/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-93.pdf),
OMP-10-83-2660,75586,NORTHWEST FORD TRUCK CTR,75586.00,"VEHICLE,BOX TRUCK",10/28/2011,1532.ADULT PROBATION SERVICE FEE,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/OMP-10-83-2660.pdf),
Q-98826-OR,833681,PREMIER PAPER & PACKAGING,13428.00,PAPER BID FOR COURT FORMS,10/28/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98826-OR.pdf),
Q-99981-OR,749528,LAKE SHORE GLASS & MIRROR,4400.00,REPLACE ENTRY DOOR,10/28/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99981-OR.pdf),
OMP-11-53-2730,740449,ENGINEERED SECURITY & SOUND INC,70148.00,FIRE ALARM TESTING,11/02/2011,1200.DEPT. OF FACILITIES/MGMT,11/01/2011,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/OMP-11-53-2730.pdf),
11-50-17,92782,US FIRE & SAFETY EQUIP CO,92782.00,MAINTENANCE FIRE EXTINGUISHERS,11/02/2011,1200.DEPT. OF FACILITIES/MGMT,11/01/2011,10/31/2014,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-50-17.pdf),
Q-96748-OR,819411,ELEVATOR INSPECTION SERVICE CO INC,819411.00,"INSPECTION, ELEVATOR",11/02/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96748-OR.pdf),
Q-99398-OR,78055,CLARK DEVON HARDWARE COMPANY,78055.00,DRAIN CLEANING MACHINE,11/02/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99398-OR.pdf),
11-45-92,736978,HOLY CROSS IHM CHURCH,35000.00,PROFESSIONAL SERVICES,11/03/2011,JAC Project Reclaim - 833,10/24/2011,11/26/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-92.pdf),
Q-99819-OR,82751,ADT SECURITY SERVICES,2696.00,INSTALL AND MAINT,11/03/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99819-OR.pdf),
11-53-062,803060,DUNBAR ARMORED INC,251526.00,ARMORED CAR SERVICE,11/04/2011,COUNTYWIDE,12/01/2011,11/30/2014,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-53-062.pdf),
Q-95752-O7,816543,GLOBAL EQUIPMENT,1570.00,ADA DRINKING FOUNTAIN,11/05/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-95752-O7.pdf),
Q-97161-OR,729316,VALIANT I M C,2259.00,DIGITAL CAMERA,11/05/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97161-OR.pdf),
Q-97716-OR,814632,INTERPARK LLC,3900.00,PARKING FOR OFFICE VAN,11/05/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97716-OR.pdf),
Q-99400-O7,78854,GORDON ELECTRIC SUPPLY INC,5350.00,STARTERS,11/05/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99400-O7.pdf),
11-45-2745,740972,SYSTEM INNOVATORS INC,64942.00,SOFTWARE AND REPORTING SERVICES,11/07/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-2745.pdf),
11-45-2747,76896,ITR SYSTEMS,8071.00,NOVATIME SUPPORT MAINTENANCE,11/07/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-2747.pdf),
Q-99478-OR,829101,"TVP COLOR GRAPHICS, INC.",4625.00,CALENDARS,11/07/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99478-OR.pdf),
11-41-127,93133,ALLIANCE AGAINST INTOXICATED MOTORIST,42900.00,VICTIM IMPACT PANELS,11/08/2011,1541.SOCIAL SERVICE PROB & CRT FEE,10/28/2011,06/30/2012,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-41-127.pdf),
Q-100209-OR,780516,FUJITSU CONSULTING INC,435.00,EMERGENCY TECHNICAL SUPPORT,11/09/2011,1534.TREASURER TAX SALES AUTOMATION,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100209-OR.pdf),
Q-97407-OR,82704,GLIDDEN CO,4550.00,"PAINT, STRIPING",11/09/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97407-OR.pdf),
11-45-77,463148,BEST TECHNOLOGY SYSTEM INC.,357296.00,AMMUNITION - SHERIFF'S TRAININ,11/10/2011,1211.DEPT. OF ADMIN/SUPPORT SER,11/04/2011,11/03/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-77.pdf),
Q-98284-O7,781523,"TRADEMARK PRODUCTS, INC",3920.00,DELUXE POWER SEAL WITH PAPER ADJUSTMENT,11/16/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98284-O7.pdf),
Q-100286-OR,92672,MIDPACK CORP,3568.00,"LINERS, TRASH CAN",11/17/2011,1215.CUSTODIAN,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100286-OR.pdf),
Q-97567-OR,833021,INDI ENTERPRISES,8374.00,BACTO-BRIK,11/17/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97567-OR.pdf),
Q-97746-OR,834218,STORAGE BATTERY SYSTEMS,17544.00,BATTERIES FORTENANANT 515ES,11/17/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97746-OR.pdf),
Q-98480-OR,820335,LENTKO PRODUCTS,3800.00,RIBBONS,11/17/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98480-OR.pdf),
Q-99387-O7,489634,AFFILIATED STEAM,7320.00,HEATING COILS,11/17/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99387-O7.pdf),
Q-100181-O7,489634,AFFILIATED STEAM,2650.00,"BUNDLE, THRUSH TUBE",11/18/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100181-O7.pdf),
Q-100182-OR,92512,G&O THERMAL SUPPLY CO,165.00,"STAT, FLOATING WALL",11/18/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100182-OR.pdf),
Q-100185-OR,75797,TRAMCO PUMP CO,2476.00,REPAIR PARTS FOR EJECTOR PUMPS,11/18/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100185-OR.pdf),
Q-100211-OR,79503,JOHNSON PIPE & SUPPLY CO,4576.00,PIPE & RELATED SUPPLIES,11/18/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100211-OR.pdf),
Q-96568-OR,808015,NETWORK ENGINEERING GROUP,4800.00,MAINTENANCE OF KODAK SCANNERS,11/19/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96568-OR.pdf),
Q-97789-OR,795792,INTERPARK INCORP,7920.00,PARKING MANAGEMENT SERVICES,11/19/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97789-OR.pdf),
Q-98756-OR,834495,OGL CORP,6737.00,"SAND, MASON FA-9",11/19/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98756-OR.pdf),
Q-97774-O7,79503,JOHNSON PIPE & SUPPLY CO,1127.00,SAFETY VALVES,11/21/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97774-O7.pdf),
Q-100394-O7,834455,COMBINED ROOFING SERVICES LLC,1280.00,HAWTHORNE ROOF REPAIRS - SOLE,11/22/2011,CC Physical Plant & Spl Proj - 720,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100394-O7.pdf),
Q-100024-OR,779052,MATERIAL SYSTEMS INC,7314.00,VARIOUS SHELVING AND STORAGE,11/23/2011,1524.COUNTY CLERK ELECTION DIV.FUND,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100024-OR.pdf),
Q-97755-OR,833021,INDI ENTERPRISES,5046.00,"SUPPLIES, ELECTRICAL",11/23/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97755-OR.pdf),
Q-98469-OR,463820,MATERIAL HANDLING SPECIALISTS,8888.00,"CABINET, SAFETY",11/23/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98469-OR.pdf),
Q-98952-OR,806043,NETWORK AUTOMATION INC,1498.00,MTC AND TECH SUPPORT FOR BPA SERVER 8 SOFTWARE,11/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98952-OR.pdf),
Q-99904-OR,783082,ILLINOIS PUBLIC SAFETY AGENCY NETWORK,3000.00,USER FEES,11/29/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99904-OR.pdf),
Q-96524-O7,93402,CHICAGO UNITED INDUSTRIES,6102.00,FRAME HOUSE EXTERIOR,12/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-96524-O7.pdf),
Q-97606-OR,81559,ANCHOR MECHANICAL INC,3792.00,ANNUAL HALON INSPECTION,12/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97606-OR.pdf),
Q-97835-OR,76938,AMERICAN HERITAGE SUPPLIES LTD,12440.00,KITCHEN SUPPLIES,12/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97835-OR.pdf),
Q-99418-OR,833021,INDI ENTERPRISES,1959.00,NEW BATTERY PACK,12/01/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99418-OR.pdf),
Q-100603-OR,803747,UNIFORMITY INC,2321.00,SECURITY UNIFORMS,12/02/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100603-OR.pdf),
Q-98471-OR,833807,CAPITAL SUPPLY COMPANY,5718.00,WINDOW AIR CONDITIONERS,12/02/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98471-OR.pdf),
Q-98879-OR,834496,DESERT DIAMOND INDUSTRIES INC,3760.00,CONCRETE SAW BLADE,12/02/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98879-OR.pdf),
Q-100219-OR,77208,LANCE CONSTRUCTION SUPPLIES INC*PO*,462.00,CONCRETE BAGS,12/05/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100219-OR.pdf),
Q-100257-OR,80921,"DAUGHERTY R A, SALES INC",3506.00,REPAIR STORM PUMP,12/05/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100257-OR.pdf),
Q-97086-OR,767357,ADVANTAGE MICROFILM SERVICES INC,9600.00,EQUIPMENT MAINTENANCE,12/05/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97086-OR.pdf),
OMP-11-45-2709,77807,MURRAY & TRETTEL INC,9680.00,METEORLOGICAL CONSULTING SERVICES,12/07/2011,1528.CIRCUIT COURT AUTOMATION FUND,10/31/2011,05/31/2012,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/OMP-11-45-2709.pdf),
OMP-11-45-2758,753003,PAPER SOLUTIONS,30575.00,PRINTING OF SUBURBAN I AND D BOND BOOKS,12/07/2011,1335.CLERK OF CRCT CRT OFF.OF CLERK,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/OMP-11-45-2758.pdf),
Q-100100-OR,834133,FOX HOME CENTER INC,4344.00,CONSTRUCTION MATERIALS,12/07/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100100-OR.pdf),
Q-100287-OR,760548,CYGNET CONTROLS INC,1740.00,MODULE/PROGRAMMING,12/07/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100287-OR.pdf),
Q-100325-OR,77665,ADVERTISING FLAG CO,4951.00,FLAGS,12/07/2011,1215.CUSTODIAN,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100325-OR.pdf),
Q-100346-OR,780002,KEY LIGHTING SALES INC,1361.00,LIGHTING,12/07/2011,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100346-OR.pdf),
Q-100395-OR,83703,MSC INDUSTRIAL SUPPLY CO,4960.00,LATEX GLOVES,12/07/2011,1230.COURT SERVICES DIVISION,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100395-OR.pdf),
11-45-2743,816641,UNIFORM DEN INC,89820.00,BALLISTIC VESTS,12/07/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/11-45-2743.pdf),
Q-99753-OR,735841,CIBER INC,128500.00,MAINTENANCE,12/07/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99753-OR.pdf),
OMP-11-45-2757,829129,WORLDS PRINTING,78588.00,PRINTING OF SUBURBAN PERSONAL ISSUE TICKETS,12/08/2011,1335.CLERK OF CRCT CRT OFF.OF CLERK,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/OMP-11-45-2757.pdf),
Q-100084-OR,835073,SUBURBAN SURGICAL,6658.00,ROLLER BASE,12/08/2011,1510.ANIMAL CONTROL DEPARTMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100084-OR.pdf),
Q-100137-OR,76315,ASSOCIATED MATERIAL HANDLING INDUST,3264.00,BATTER PACKS,12/08/2011,1524.COUNTY CLERK ELECTION DIV.FUND,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/Q-100137-OR.pdf),
Q-97446-OR,767357,ADVANTAGE MICROFILM SERVICES INC,1800.00,EQUIPMENT MAINTENANCE,12/08/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97446-OR.pdf),
Q-98001-OR,835190,ADVANTAGE MARKETING GROUP,6717.00,NATIONAL CHANGE OF ADDRESS ANALYSIS,12/08/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98001-OR.pdf),
Q-98069-OR,81431,UNITEX INDUSTRIES INC,583.00,"BLINDS, WHITE, ALUMINUM",12/08/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98069-OR.pdf),
Q-98720-OR,828715,THE WRIGHT FIT UNIFORMS,6057.00,T-SHIRTS,12/08/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98720-OR.pdf),
Q-99513-OR,766313,TRIBUNE PRODUCTS,2156.00,OFFICE FURNITURE,12/08/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99513-OR.pdf),
Q-99598-OR,817171,THE OFFICE PAL,4390.00,PRINTER CARTRIDGES,12/08/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99598-OR.pdf),
12-90-094,92279,PREFORM TRAFFIC CONTROL SYSTEMS LTD,2335700.00,PAVEMENT MARKINGS,12/09/2011,1500.COUNTY HIGHWAY DEPARTMENT,07/10/2012,07/09/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/12-90-094.pdf),
Q-97489-OR,835128,HUSKY ENVELOPE PRODUCTS,2839.00,CHILD SUPPORT ENVELOPES,12/09/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-97489-OR.pdf),
Q-98850-OR,466846,WORLD'S PRINTING,819.00,CHECK PAPER,12/09/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-98850-OR.pdf),
Q-99445-OR,834461,AD-WEAR & SPECIALTY,6246.00,T-SHIRTS,12/09/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99445-OR.pdf),
Q-99837-OR,835987,JOSEPH QUINTERNO,5754.00,DRIVING TRAINING,12/09/2011,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/Q-99837-OR.pdf),
11-84-101,833723,MONTENEGRO PAPER LTD,3856123.00,"PAPER, XEROGRAPHIC, VARIOUS OFFSET, INDEX, TAB, NCR, ETC.",12/11/2011,COUNTYWIDE,01/01/2012,12/31/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-84-101.pdf),
11-41-163,733557,MICROSOFT PROFESSIONAL SUPPORT SALES,148948.00,TECHNICAL SUPPORT & MAINTENANCE,12/12/2011,1016.IT SOLUTIONS,04/01/2012,03/31/2013,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/11-41-163.pdf),
12-53-071,823099,REALFOCUS CAPITAL LLC,45655.00,PICK-UP TRUCK WITH EXTENDED CAB,12/12/2011,1510.ANIMAL CONTROL DEPARTMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/12-53-071.pdf),
