Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Home Health,COUNTY,AK,Ketchikan Gateway,2102,1,82,3.9%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AK,Kodiak Island,1371,0,,0.8%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AK,Matanuska-Susitna,11157,2,151,2.7%,2,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,AK,Prince of Wales Hyder,811,1,19,2.3%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AK,Sitka,1205,1,39,3.2%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AK,Southeast Fairbanks,1006,0,,1.3%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AK,Valdez Cordova,1231,0,,1.5%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AL,Autauga,6785,8,65.5,7.7%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Baldwin,30775,10,283.6,9.2%,10,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Barbour,5294,7,79,10.4%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Bibb,3074,6,49.3,9.6%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Blount,7181,9,69,8.6%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Bullock,1394,4,27.3,7.8%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Butler,4235,6,94.7,13.4%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Calhoun,22249,9,248.1,10%,9,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Chambers,7278,9,64.4,8%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Cherokee,5345,5,103.8,9.7%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Chilton,4940,5,94.8,9.6%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Choctaw,3488,3,103,8.9%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,AL,Clarke,4821,5,99.6,10.3%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Clay,3121,3,84.7,8.1%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,AL,Cleburne,2995,5,58.6,9.8%,5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Coffee,9213,8,127.3,11%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Colbert,12084,7,182.9,10.6%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Conecuh,3149,7,55.9,12.4%,7,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Coosa,2201,5,36.8,8.4%,5,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,CA,Sierra,843,1,24,2.8%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,AL,Covington,8703,5,214.4,12.3%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Crenshaw,2741,6,44,9.6%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Cullman,14548,8,164.5,9%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Dale,8989,9,99.8,10%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Dallas,7639,4,185,9.7%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,DeKalb,12214,7,154.1,8.8%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Elmore,11189,10,83.2,7.4%,10,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Escambia,7571,6,188.2,14.9%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Etowah,19260,9,233.7,10.9%,9,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Fayette,4393,6,79.3,10.8%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Franklin,6230,6,132.8,12.8%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Geneva,6072,9,81.4,12.1%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Greene,2010,5,46.6,11.6%,5,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Hale,3622,5,73.6,10.2%,5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Henry,3595,6,67.2,11.2%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Houston,19190,6,336.3,10.5%,6,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Jackson,10759,7,144,9.4%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Jefferson,71126,18,339.8,8.6%,18,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 16 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 16 Providers)
Home Health,COUNTY,AL,Lamar,3612,7,48.4,9.4%,7,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Lauderdale,18501,7,239.1,9%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Lawrence,6888,6,119.5,10.4%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Lee,17528,8,169.6,7.7%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Limestone,13043,8,149.4,9.2%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Lowndes,1648,5,28.6,8.7%,5,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Macon,3246,5,48.2,7.4%,5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Madison,48048,9,398.2,7.5%,9,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Marengo,4735,4,122.3,10.3%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Marion,6372,10,77.8,12.2%,10,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,AL,Marshall,17467,7,248.1,9.9%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,AL,Mobile,45213,10,458.8,10.1%,10,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.3 - 14.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
